Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,8,Sat,2018-10-20,15:30,Stuttgart,1.0,0–4,1.2,Dortmund,59000,Mercedes-Benz Arena,Manuel Gräfe,Match Report,
Regular Season,8,Sat,2018-10-20,15:30,Wolfsburg,1.4,1–3,2.7,Bayern Munich,30000,Volkswagen Arena,Guido Winkmann,Match Report,
Regular Season,8,Sat,2018-10-20,15:30,Leverkusen,2.2,2–2,0.6,Hannover 96,26435,BayArena,Patrick Ittrich,Match Report,
Regular Season,8,Sat,2018-10-20,15:30,Nürnberg,1.3,1–3,2.2,Hoffenheim,36472,Max-Morlock-Stadion,Felix Zwayer,Match Report,
Regular Season,8,Sat,2018-10-20,18:30,Schalke 04,1.4,0–2,0.4,Werder Bremen,62271,Veltins-Arena,Christian Dingert,Match Report,
Regular Season,8,Sun,2018-10-21,15:30,Hertha BSC,1.1,1–1,0.7,Freiburg,53716,Olympiastadion Berlin,Benjamin Cortus,Match Report,
Regular Season,8,Sun,2018-10-21,18:00,M'Gladbach,2.6,4–0,1.2,Mainz 05,51123,Stadion im Borussia-Park,Sören Storks,Match Report,
,,,,,,,,,,,,,,
Regular Season,9,Fri,2018-10-26,20:30,Freiburg,1.5,3–1,1.2,M'Gladbach,24000,Schwarzwald-Stadion,Robert Hartmann,Match Report,
Regular Season,9,Sat,2018-10-27,15:30,Mainz 05,0.3,1–2,2.2,Bayern Munich,33305,Opel Arena,Harm Osmers,Match Report,
Regular Season,9,Sat,2018-10-27,15:30,Hannover 96,0.8,1–2,1.6,Augsburg,37600,HDI-Arena,Robert Kampka,Match Report,
Regular Season,9,Sat,2018-10-27,15:30,Düsseldorf,0.6,0–3,2.0,Wolfsburg,38043,Merkur Spielarena,Daniel Schlager,Match Report,
Regular Season,9,Sat,2018-10-27,15:30,Dortmund,3.7,2–2,2.1,Hertha BSC,81000,Signal Iduna Park,Sascha Stegemann,Match Report,
Regular Season,9,Sat,2018-10-27,18:30,Hoffenheim,2.9,4–0,0.5,Stuttgart,30150,PreZero Arena,Frank Willenborg,Match Report,
Regular Season,9,Sun,2018-10-28,13:30,Nürnberg,1.0,1–1,1.6,Eint Frankfurt,42154,Max-Morlock-Stadion,Robert Schröder,Match Report,
Regular Season,9,Sun,2018-10-28,15:30,RB Leipzig,0.7,0–0,0.5,Schalke 04,41939,Red Bull Arena,Felix Brych,Match Report,
Regular Season,9,Sun,2018-10-28,18:00,Werder Bremen,1.9,2–6,3.9,Leverkusen,40400,Weserstadion,Marco Fritz,Match Report,
,,,,,,,,,,,,,,
Regular Season,10,Fri,2018-11-02,20:30,Stuttgart,1.0,0–3,3.1,Eint Frankfurt,58016,Mercedes-Benz Arena,Sven Jablonski,Match Report,
Regular Season,10,Sat,2018-11-03,15:30,Bayern Munich,2.0,1–1,0.3,Freiburg,75000,Allianz Arena,Felix Zwayer,Match Report,
Regular Season,10,Sat,2018-11-03,15:30,Augsburg,1.6,2–2,1.4,Nürnberg,30660,WWK Arena,Patrick Ittrich,Match Report,
Regular Season,10,Sat,2018-11-03,15:30,Leverkusen,1.6,1–4,1.6,Hoffenheim,27589,BayArena,Tobias Stieler,Match Report,
Regular Season,10,Sat,2018-11-03,15:30,Wolfsburg,0.6,0–1,1.4,Dortmund,30000,Volkswagen Arena,Daniel Siebert,Match Report,
Regular Season,10,Sat,2018-11-03,15:30,Schalke 04,2.8,3–1,1.9,Hannover 96,61959,Veltins-Arena,Markus Schmidt,Match Report,
Regular Season,10,Sat,2018-11-03,18:30,Hertha BSC,1.4,0–3,3.7,RB Leipzig,50382,Olympiastadion Berlin,Deniz Aytekin,Match Report,
Regular Season,10,Sun,2018-11-04,15:30,M'Gladbach,3.5,3–0,0.8,Düsseldorf,54022,Stadion im Borussia-Park,Felix Brych,Match Report,
Regular Season,10,Sun,2018-11-04,18:00,Mainz 05,0.8,2–1,1.6,Werder Bremen,25105,Opel Arena,Guido Winkmann,Match Report,
,,,,,,,,,,,,,,
Regular Season,11,Fri,2018-11-09,20:30,Hannover 96,2.1,2–1,3.2,Wolfsburg,35800,HDI-Arena,Marco Fritz,Match Report,
Regular Season,11,Sat,2018-11-10,15:30,Freiburg,1.3,1–3,0.9,Mainz 05,24000,Schwarzwald-Stadion,Sascha Stegemann,Match Report,
Regular Season,11,Sat,2018-11-10,15:30,Hoffenheim,2.3,2–1,1.3,Augsburg,27009,PreZero Arena,Robert Schröder,Match Report,
Regular Season,11,Sat,2018-11-10,15:30,Werder Bremen,1.4,1–3,2.0,M'Gladbach,42100,Weserstadion,Sören Storks,Match Report,
Regular Season,11,Sat,2018-11-10,15:30,Düsseldorf,2.7,4–1,0.8,Hertha BSC,38743,Merkur Spielarena,Robert Hartmann,Match Report,
Regular Season,11,Sat,2018-11-10,15:30,Nürnberg,0.5,0–2,1.5,Stuttgart,50000,Max-Morlock-Stadion,Christian Dingert,Match Report,
Regular Season,11,Sat,2018-11-10,18:30,Dortmund,2.5,3–2,2.1,Bayern Munich,81365,Signal Iduna Park,Manuel Gräfe,Match Report,
Regular Season,11,Sun,2018-11-11,15:30,RB Leipzig,2.2,3–0,0.4,Leverkusen,36155,Red Bull Arena,Martin Petersen,Match Report,
Regular Season,11,Sun,2018-11-11,18:00,Eint Frankfurt,1.7,3–0,0.8,Schalke 04,50700,Commerzbank-Arena,Benjamin Cortus,Match Report,
,,,,,,,,,,,,,,
Regular Season,12,Fri,2018-11-23,20:30,Leverkusen,2.9,2–0,0.6,Stuttgart,24632,BayArena,Robert Schröder,Match Report,
Regular Season,12,Sat,2018-11-24,15:30,Mainz 05,1.0,1–2,1.2,Dortmund,33305,Opel Arena,Deniz Aytekin,Match Report,
Regular Season,12,Sat,2018-11-24,15:30,Wolfsburg,1.7,1–0,0.5,RB Leipzig,22832,Volkswagen Arena,Tobias Stieler,Match Report,
Regular Season,12,Sat,2018-11-24,15:30,Bayern Munich,2.6,3–3,1.5,Düsseldorf,75000,Allianz Arena,Sven Jablonski,Match Report,
Regular Season,12,Sat,2018-11-24,15:30,Augsburg,2.2,1–3,3.5,Eint Frankfurt,30660,WWK Arena,Felix Zwayer,Match Report,
Regular Season,12,Sat,2018-11-24,15:30,Hertha BSC,3.3,3–3,1.5,Hoffenheim,44508,Olympiastadion Berlin,Tobias Welz,Match Report,
Regular Season,12,Sat,2018-11-24,18:30,Schalke 04,2.7,5–2,2.1,Nürnberg,62271,Veltins-Arena,Guido Winkmann,Match Report,
Regular Season,12,Sun,2018-11-25,15:30,Freiburg,2.8,1–1,2.3,Werder Bremen,24000,Schwarzwald-Stadion,Bastian Dankert,Match Report,
Regular Season,12,Sun,2018-11-25,18:00,M'Gladbach,1.8,4–1,0.5,Hannover 96,48692,Stadion im Borussia-Park,Daniel Siebert,Match Report,
,,,,,,,,,,,,,,
Regular Season,13,Fri,2018-11-30,20:30,Düsseldorf,1.6,0–1,0.9,Mainz 05,37091,Merkur Spielarena,Manuel Gräfe,Match Report,
Regular Season,13,Sat,2018-12-01,15:30,Stuttgart,0.6,1–0,1.1,Augsburg,52739,Mercedes-Benz Arena,Harm Osmers,Match Report,
Regular Season,13,Sat,2018-12-01,15:30,Werder Bremen,0.5,1–2,2.4,Bayern Munich,42100,Weserstadion,Christian Dingert,Match Report,
Regular Season,13,Sat,2018-12-01,15:30,Dortmund,2.5,2–0,0.1,Freiburg,81365,Signal Iduna Park,Frank Willenborg,Match Report,
Regular Season,13,Sat,2018-12-01,15:30,Hannover 96,1.1,0–2,1.3,Hertha BSC,35800,HDI-Arena,Felix Brych,Match Report,
Regular Season,13,Sat,2018-12-01,18:30,Hoffenheim,2.1,1–1,2.2,Schalke 04,30000,PreZero Arena,Robert Kampka,Match Report,
Regular Season,13,Sun,2018-12-02,15:30,RB Leipzig,2.1,2–0,0.6,M'Gladbach,41939,Red Bull Arena,Markus Schmidt,Match Report,
Regular Season,13,Sun,2018-12-02,18:00,Eint Frankfurt,1.7,1–2,1.1,Wolfsburg,48000,Commerzbank-Arena,Sascha Stegemann,Match Report,
Regular Season,13,Mon,2018-12-03,20:30,Nürnberg,0.7,1–1,1.6,Leverkusen,32238,Max-Morlock-Stadion,Bibiana Steinhaus,Match Report,
,,,,,,,,,,,,,,
Regular Season,14,Fri,2018-12-07,20:30,Werder Bremen,1.9,3–1,1.2,Düsseldorf,41500,Weserstadion,Marco Fritz,Match Report,
Regular Season,14,Sat,2018-12-08,15:30,Wolfsburg,0.5,2–2,2.0,Hoffenheim,20602,Volkswagen Arena,Felix Zwayer,Match Report,
Regular Season,14,Sat,2018-12-08,15:30,Bayern Munich,2.1,3–0,0.2,Nürnberg,75000,Allianz Arena,Tobias Stieler,Match Report,
Regular Season,14,Sat,2018-12-08,15:30,Schalke 04,1.4,1–2,1.5,Dortmund,61767,Veltins-Arena,Daniel Siebert,Match Report,
Regular Season,14,Sat,2018-12-08,15:30,Leverkusen,1.7,1–0,0.8,Augsburg,25558,BayArena,Bastian Dankert,Match Report,
Regular Season,14,Sat,2018-12-08,15:30,Freiburg,2.0,3–0,1.0,RB Leipzig,23800,Schwarzwald-Stadion,Tobias Welz,Match Report,
Regular Season,14,Sat,2018-12-08,18:30,Hertha BSC,0.4,1–0,1.4,Eint Frankfurt,42578,Olympiastadion Berlin,Daniel Schlager,Match Report,
Regular Season,14,Sun,2018-12-09,15:30,Mainz 05,2.8,1–1,1.4,Hannover 96,23305,Opel Arena,Robert Hartmann,Match Report,
