match_id,home,round,season,team,xg,xg_against,score,score_against
133,1,14,2017-18,Hoffenheim,1.4,0.5,4,0
133,0,14,2017-18,RB Leipzig,0.5,1.4,0,4
134,1,14,2017-18,Bayern Munich,3.7,1.2,3,1
134,0,14,2017-18,Hannover 96,1.2,3.7,1,3
135,1,14,2017-18,Mainz 05,0.6,2.1,1,3
135,0,14,2017-18,Augsburg,2.1,0.6,3,1
136,1,14,2017-18,Schalke 04,2.5,1.8,2,2
136,0,14,2017-18,Köln,1.8,2.5,2,2
137,1,14,2017-18,Hertha BSC,1.1,0.5,1,2
137,0,14,2017-18,Eint Frankfurt,0.5,1.1,2,1
138,1,14,2017-18,Wolfsburg,1.5,1.1,3,0
138,0,14,2017-18,M'Gladbach,1.1,1.5,0,3
140,1,15,2017-18,Stuttgart,0.4,1.5,0,2
140,0,15,2017-18,Leverkusen,1.5,0.4,2,0
141,1,15,2017-18,Hamburger SV,1.3,0.1,0,0
141,0,15,2017-18,Wolfsburg,0.1,1.3,0,0
142,1,15,2017-18,RB Leipzig,1.6,0.9,2,2
142,0,15,2017-18,Mainz 05,0.9,1.6,2,2
143,1,15,2017-18,Dortmund,1.9,1.0,1,2
143,0,15,2017-18,Werder Bremen,1.0,1.9,2,1
144,1,15,2017-18,Eint Frankfurt,0.6,0.3,0,1
144,0,15,2017-18,Bayern Munich,0.3,0.6,1,0
145,1,15,2017-18,M'Gladbach,1.4,1.0,1,1
145,0,15,2017-18,Schalke 04,1.0,1.4,1,1
146,1,15,2017-18,Köln,1.5,3.3,3,4
146,0,15,2017-18,Freiburg,3.3,1.5,4,3
147,1,15,2017-18,Hannover 96,1.4,0.8,2,0
147,0,15,2017-18,Hoffenheim,0.8,1.4,0,2
148,1,15,2017-18,Augsburg,1.2,0.6,1,1
148,0,15,2017-18,Hertha BSC,0.6,1.2,1,1
150,1,16,2017-18,Wolfsburg,2.4,0.5,1,1
150,0,16,2017-18,RB Leipzig,0.5,2.4,1,1
151,1,16,2017-18,Freiburg,1.7,0.4,1,0
151,0,16,2017-18,M'Gladbach,0.4,1.7,0,1
152,1,16,2017-18,Mainz 05,0.5,2.0,0,2
152,0,16,2017-18,Dortmund,2.0,0.5,2,0
153,1,16,2017-18,Hamburger SV,1.7,1.3,1,2
153,0,16,2017-18,Eint Frankfurt,1.3,1.7,2,1
154,1,16,2017-18,Hoffenheim,1.4,0.7,1,0
154,0,16,2017-18,Stuttgart,0.7,1.4,0,1
155,1,16,2017-18,Schalke 04,3.1,1.8,3,2
155,0,16,2017-18,Augsburg,1.8,3.1,2,3
156,1,16,2017-18,Leverkusen,2.6,0.4,1,0
156,0,16,2017-18,Werder Bremen,0.4,2.6,0,1
157,1,16,2017-18,Bayern Munich,2.7,0.3,1,0
157,0,16,2017-18,Köln,0.3,2.7,0,1
158,1,16,2017-18,Hertha BSC,2.5,2.6,3,1
158,0,16,2017-18,Hannover 96,2.6,2.5,1,3
160,1,17,2017-18,M'Gladbach,2.1,0.8,3,1
160,0,17,2017-18,Hamburger SV,0.8,2.1,1,3
161,1,17,2017-18,Köln,1.8,1.2,1,0
161,0,17,2017-18,Wolfsburg,1.2,1.8,0,1
162,1,17,2017-18,Stuttgart,1.2,2.0,0,1
162,0,17,2017-18,Bayern Munich,2.0,1.2,1,0
163,1,17,2017-18,Augsburg,2.5,1.7,3,3
163,0,17,2017-18,Freiburg,1.7,2.5,3,3
164,1,17,2017-18,Eint Frankfurt,1.6,1.9,2,2
164,0,17,2017-18,Schalke 04,1.9,1.6,2,2
165,1,17,2017-18,Werder Bremen,1.3,1.0,2,2
165,0,17,2017-18,Mainz 05,1.0,1.3,2,2
166,1,17,2017-18,Dortmund,3.1,1.3,2,1
166,0,17,2017-18,Hoffenheim,1.3,3.1,1,2
167,1,17,2017-18,Hannover 96,2.4,2.5,4,4
167,0,17,2017-18,Leverkusen,2.5,2.4,4,4
168,1,17,2017-18,RB Leipzig,2.3,1.2,2,3
168,0,17,2017-18,Hertha BSC,1.2,2.3,3,2
170,1,18,2017-18,Leverkusen,0.7,1.6,1,3
170,0,18,2017-18,Bayern Munich,1.6,0.7,3,1
171,1,18,2017-18,Eint Frankfurt,1.9,0.2,1,1
171,0,18,2017-18,Freiburg,0.2,1.9,1,1
172,1,18,2017-18,Hannover 96,2.8,0.6,3,2
172,0,18,2017-18,Mainz 05,0.6,2.8,2,3
173,1,18,2017-18,Augsburg,1.6,0.6,1,0
173,0,18,2017-18,Hamburger SV,0.6,1.6,0,1
174,1,18,2017-18,Werder Bremen,1.6,1.4,1,1
174,0,18,2017-18,Hoffenheim,1.4,1.6,1,1
175,1,18,2017-18,Stuttgart,0.4,1.0,1,0
175,0,18,2017-18,Hertha BSC,1.0,0.4,0,1
176,1,18,2017-18,RB Leipzig,2.6,0.4,3,1
176,0,18,2017-18,Schalke 04,0.4,2.6,1,3
